DATE,NVDA_EPS_EZ_EST,NVDA_EPS_WS_EST,NVDA_EPS_ACT,NVDA_EPS_SURPRISE,NVDA_EPS_FLAG,NVDA_DAYS_SINCE_EPS,NVDA_VOLUME,NVDA_OPEN,NVDA_HIGH,NVDA_LOW
2010-01-05,0.04,0.03,0,-0.02,0,0,79416538.93,4.225094797,4.348957283,4.225094797
2010-01-06,0.04,0.03,0,-0.02,0,0,70753865.59,4.300789751,4.339783596,4.2595021
2010-01-07,0.04,0.03,0,-0.02,0,0,59704762.24,4.307668999,4.326019008,4.213625145
2010-01-08,0.04,0.03,0,-0.02,0,0,52116320.25,4.211331849,4.284731896,4.186100419
2010-01-11,0.04,0.03,0,-0.02,0,0,60666066.26,4.277850134,4.296200144,4.135637664
2010-01-12,0.04,0.03,0,-0.02,0,0,68384846.96,4.133344385,4.149400591,3.965900465
2010-01-13,0.04,0.03,0,-0.02,0,0,55462369.69,4.080587539,4.121874733,3.922318431
2010-01-14,0.04,0.03,0,-0.02,0,0,66324041.96,4.057649974,4.087468576,3.97507471
2010-01-15,0.04,0.03,0,-0.02,0,0,89176105.86,4.014068528,4.048474742,3.871855622
2010-01-19,0.04,0.03,0,-0.02,0,0,59436205.31,3.894793225,4.023243732,3.883324633
2010-01-20,0.04,0.03,0,-0.02,0,0,78444343.73,3.947549827,3.998012688,3.894793598
2010-01-21,0.04,0.03,0,-0.02,0,0,66335803.01,3.979662924,4.05076917,3.874150022
2010-01-22,0.04,0.03,0,-0.02,0,0,116393932.9,3.864974866,3.936081104,3.752580993
2010-01-25,0.04,0.03,0,-0.02,0,0,70155300.96,3.837450285,3.913144148,3.809925482
2010-01-26,0.04,0.03,0,-0.02,0,0,77889353.33,3.821393792,3.846625224,3.715881327
2010-01-27,0.04,0.03,0,-0.02,0,0,88556155.1,3.715881015,3.832862064,3.67459338
2010-01-28,0.04,0.03,0,-0.02,0,0,74960542.52,3.848918379,3.862680777,3.637892829
2010-01-29,0.04,0.03,0,-0.02,0,0,84435831.79,3.731937344,3.773224981,3.47503674
2010-02-01,0.04,0.03,0,-0.02,0,0,103523777.1,3.543848726,3.807630481,3.514029907
2010-02-02,0.04,0.03,0,-0.02,0,0,92622401.05,3.786987855,3.887913152,3.775518822
2010-02-03,0.04,0.03,0,-0.02,0,0,61285577.51,3.805336877,3.887912138,3.786986868
2010-02-04,0.04,0.03,0,-0.02,0,0,85392784.15,3.837449549,3.837449549,3.605780609
2010-02-05,0.04,0.03,0,-0.02,0,0,65924237.52,3.642481776,3.729644463,3.578256718
2010-02-08,0.04,0.03,0,-0.02,0,0,48518730.08,3.708999196,3.803043048,3.640186551
2010-02-09,0.04,0.03,0,-0.02,0,0,101377950.1,3.77322423,3.791574239,3.647067541
2010-02-10,0.04,0.03,0,-0.02,0,0,58400797.12,3.706704713,3.789279959,3.681473291
2010-02-11,0.04,0.03,0,-0.02,0,0,75856016.5,3.814511805,3.968193304,3.786987008
2010-02-12,0.04,0.03,0,-0.02,0,0,85036579.93,3.899381893,4.059944851,3.855800443
2010-02-16,0.04,0.03,0,-0.02,0,0,49811798.4,4.032419097,4.069119122,3.984250478
2010-02-17,0.04,0.03,0,-0.02,0,0,95537740.12,4.103524389,4.105818194,3.97507433
2010-02-18,0.04,0.03,0,-0.02,0,0,165177722.4,3.867268756,3.887912574,3.718174421
2010-02-19,0.04,0.03,0,-0.02,0,0,55645475.99,3.807630739,3.84891837,3.784693117
2010-02-22,0.04,0.03,0,-0.02,0,0,49927327.21,3.819100106,3.876443952,3.784693885
2010-02-23,0.04,0.03,0,-0.02,0,0,53380184.1,3.821393792,3.837449998,3.679181301
2010-02-24,0.04,0.03,0,-0.02,0,0,48595883.71,3.750287789,3.832862633,3.738818757
2010-02-25,0.04,0.03,0,-0.02,0,0,62885122.82,3.709000184,3.770931646,3.614956306
2010-02-26,0.04,0.03,0,-0.02,0,0,42876877,3.743406148,3.770931387,3.692943722
2010-03-01,0.04,0.03,0,-0.02,0,0,60584968.17,3.718174674,3.883325227,3.688356068
2010-03-02,0.04,0.03,0,-0.02,0,0,58708132.31,3.899381414,3.947550033,3.835156151
2010-03-03,0.04,0.03,0,-0.02,0,0,43520370.72,3.885618448,3.906262264,3.782399368
2010-03-04,0.04,0.03,0,-0.02,0,0,60751515.64,3.830568475,3.860387078,3.773224638
2010-03-05,0.04,0.03,0,-0.02,0,0,68973418.43,3.793868021,3.965899512,3.793868021
2010-03-08,0.04,0.03,0,-0.02,0,0,47881342.64,3.940668681,3.952137274,3.864974831
2010-03-09,0.04,0.03,0,-0.02,0,0,90553762.86,3.920024568,4.064530839,3.917730762
2010-03-10,0.04,0.03,0,-0.02,0,0,45615190.69,4.014068499,4.078293752,4.011774693
2010-03-11,0.04,0.03,0,-0.02,0,0,58927433.8,4.00259981,4.016362208,3.926905966
2010-03-12,0.04,0.03,0,-0.02,0,0,56714029.96,3.986543246,3.998012275,3.936080828
2010-03-15,0.04,0.03,0,-0.02,0,0,39117531.03,3.952138334,3.991132172,3.899382093
2010-03-16,0.04,0.03,0,-0.02,0,0,72478164.61,3.93378613,4.096642813,3.931492324
2010-03-17,0.04,0.03,0,-0.02,0,0,70971890.69,4.09664332,4.206743368,4.09664332
2010-03-18,0.04,0.03,0,-0.02,0,0,80758878.59,4.158575791,4.158575791,3.968194228
2010-03-19,0.04,0.03,0,-0.02,0,0,63717834.24,4.064530897,4.075999926,3.906262226
2010-03-22,0.04,0.03,0,-0.02,0,0,47448001.01,3.906261708,4.037005565,3.906261708
2010-03-23,0.04,0.03,0,-0.02,0,0,53799587.13,4.050768933,4.12416898,4.023244134
2010-03-24,0.04,0.03,0,-0.02,0,0,47547827.3,4.069118832,4.080587863,3.959018764
2010-03-25,0.04,0.03,0,-0.02,0,0,53970922.73,4.023244079,4.048475072,3.968193607
2010-03-26,0.04,0.03,0,-0.02,0,0,37566807.01,4.011775049,4.053062684,3.945256421
2010-03-29,0.04,0.03,0,-0.02,0,0,42992413.39,4.002600086,4.037006302,3.947549616
2010-03-30,0.04,0.03,0,-0.02,0,0,35324633.53,4.073706178,4.094349994,3.97507471
2010-03-31,0.04,0.03,0,-0.02,0,0,42489305.24,4.027831329,4.046181341,3.970487488
2010-04-01,0.04,0.03,0,-0.02,0,0,37020538.15,4.009481535,4.055356786,3.908556683
2010-04-05,0.04,0.03,0,-0.02,0,0,45082885.38,3.975073793,4.016361416,3.970486182
2010-04-06,0.04,0.03,0,-0.02,0,0,88202578.81,3.959019105,3.968193893,3.842037609
2010-04-07,0.04,0.03,0,-0.02,0,0,89097167.63,3.88561969,4.002601206,3.853506835
2010-04-08,0.04,0.03,0,-0.02,0,0,113089752.1,3.910849322,3.940668361,3.85121212
2010-04-09,0.04,0.03,0,-0.02,0,0,89108513.6,3.862681592,3.910850213,3.842037771
2010-04-12,0.04,0.03,0,-0.02,0,0,59559590.61,3.901674201,3.984249455,3.894792784
2010-04-13,0.04,0.03,0,-0.02,0,0,70702466.47,3.984249287,4.064530295,3.968192648
2010-04-14,0.04,0.03,0,-0.02,0,0,98171012.24,4.137929633,4.158573002,4.037004402
2010-04-15,0.04,0.03,0,-0.02,0,0,104369964.8,4.11499438,4.156282018,4.073706743
2010-04-16,0.04,0.03,0,-0.02,0,0,209017213.5,3.963606495,3.979662701,3.825981188
2010-04-19,0.04,0.03,0,-0.02,0,0,119290472,3.883325631,3.906263258,3.764050316
2010-04-20,0.04,0.03,0,-0.02,0,0,73916830.01,3.922318861,3.963606497,3.858093601
2010-04-21,0.04,0.03,0,-0.02,0,0,97646484.24,3.929200167,3.93378778,3.76175624
2010-04-22,0.04,0.03,0,-0.02,0,0,71600104.74,3.745699657,3.835155908,3.692943428
2010-04-23,0.04,0.03,0,-0.02,0,0,82061561.35,3.81221864,3.821393427,3.704411942
2010-04-26,0.04,0.03,0,-0.02,0,0,53524923.59,3.775518641,3.853506307,3.76863766
2010-04-27,0.04,0.03,0,-0.02,0,0,66125660.56,3.780106527,3.819100363,3.688356453
2010-04-28,0.04,0.03,0,-0.02,0,0,73260261.26,3.69753126,3.759462279,3.63101219
2010-04-29,0.04,0.03,0,-0.02,0,0,107588713.7,3.718174384,3.823687277,3.663124568
2010-04-30,0.04,0.03,0,-0.02,0,0,116408330.8,3.773224453,3.780105433,3.601192732
2010-05-03,0.04,0.03,0,-0.02,0,0,117598932.5,3.621837263,3.642481082,3.509443379
2010-05-04,0.04,0.03,0,-0.02,0,0,142929033.5,3.509443212,3.516324412,3.332824072
2010-05-05,0.04,0.03,0,-0.02,0,0,145050462.4,3.314473705,3.410811368,3.284654884
2010-05-06,0.04,0.03,0,-0.02,0,0,109306435.8,3.303004692,3.371817335,2.991054319
2010-05-07,0.04,0.03,0,-0.02,0,0,125744952.6,3.286949602,3.286949602,3.087393022
2010-05-10,0.04,0.03,0,-0.02,0,0,106719858.8,3.394754534,3.43604194,3.303004281
2010-05-11,0.04,0.03,0,-0.02,0,0,90367593.25,3.307592831,3.369524067,3.277774007
2010-05-12,0.04,0.03,0,-0.02,0,0,98227228.84,3.325941838,3.385579468,3.305298026
2010-05-13,0.04,0.03,0,-0.02,0,0,136457551.4,3.35346774,3.507149249,3.328236529
2010-05-14,0.04,0.03,0,-0.02,0,0,271723586.8,3.133267607,3.142442613,2.890129831
2010-05-17,0.04,0.03,0,-0.02,0,0,93303402.88,2.977291842,3.016285667,2.885541792
2010-05-18,0.04,0.03,0,-0.02,0,0,73472560.82,3.004818179,3.023168196,2.864899029
2010-05-19,0.04,0.03,0,-0.02,0,0,90083777.13,2.867192165,2.931417209,2.846548347
2010-05-20,0.04,0.03,0,-0.02,0,0,123066402,2.841960763,2.926829619,2.7547981
2010-05-21,0.04,0.03,0,-0.02,0,0,116577459.7,2.775442276,3.000230051,2.775442276
2010-05-24,0.04,0.03,0,-0.02,0,0,72431916.18,2.910773774,2.945180216,2.825904901
2010-05-25,0.04,0.03,0,-0.02,0,0,105356990.2,2.745623397,2.924536135,2.718098378
2010-05-26,0.04,0.03,0,-0.02,0,0,108449733.7,3.02775511,3.085098958,2.915361221
2010-05-27,0.04,0.03,0,-0.02,0,0,77772096.19,2.997935455,3.096566916,2.991054256
2010-05-28,0.04,0.03,0,-0.02,0,0,59413085.36,3.091980237,3.091980237,2.968117532
2010-06-01,0.04,0.03,0,-0.02,0,0,57492222.99,2.972704822,3.00711104,2.883248348
2010-06-02,0.04,0.03,0,-0.02,0,0,70745178.13,2.890129499,2.922241908,2.871779488
2010-06-03,0.04,0.03,0,-0.02,0,0,63908339.71,2.858017301,2.919948541,2.848842294
2010-06-04,0.04,0.03,0,-0.02,0,0,73183120.8,2.828197383,2.878660009,2.75938475
2010-06-07,0.04,0.03,0,-0.02,0,0,62915213.95,2.786910566,2.805260577,2.626347856
2010-06-08,0.04,0.03,0,-0.02,0,0,105464256.3,2.626347637,2.626347637,2.497897568
2010-06-09,0.04,0.03,0,-0.02,0,0,75983738.69,2.578179376,2.646992038,2.493310507
2010-06-10,0.04,0.03,0,-0.02,0,0,66677623.33,2.552947139,2.614878357,2.546065942
2010-06-11,0.04,0.03,0,-0.02,0,0,48185651.85,2.575884899,2.674516363,2.5690037
2010-06-14,0.04,0.03,0,-0.02,0,0,40880600.1,2.702040998,2.706628609,2.598822156
2010-06-15,0.04,0.03,0,-0.02,0,0,57616463.03,2.635523442,2.747917342,2.630936048
2010-06-16,0.04,0.03,0,-0.02,0,0,39943262.34,2.715804244,2.741035454,2.663047799
2010-06-17,0.04,0.03,0,-0.02,0,0,93631254.91,2.79379159,2.809847793,2.697453934
2010-06-18,0.04,0.03,0,-0.02,0,0,101670895,2.81902339,2.855723415,2.798379571
2010-06-21,0.04,0.03,0,-0.02,0,0,63197294.85,2.880954169,2.887835368,2.729566271
2010-06-22,0.04,0.03,0,-0.02,0,0,89173051.96,2.78920422,2.823610654,2.637816524
2010-06-23,0.04,0.03,0,-0.02,0,0,66927420.03,2.676810283,2.70892291,2.601116437
2010-06-24,0.04,0.03,0,-0.02,0,0,79021988.44,2.665342091,2.679104711,2.539185579
2010-06-25,0.04,0.03,0,-0.02,0,0,55282743.99,2.566710323,2.569004129,2.500191474
